,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
222,233,0,0,0,0,0,0,0,0,1,8,9
223,234,0,0,0,0,0,1,0,0,1,7,9
224,235,0,0,0,0,0,0,1,0,0,1,2
225,236,0,0,0,0,0,0,0,0,0,1,1
226,237,0,0,0,0,0,0,0,0,0,1,1
227,239,0,0,1,0,0,2,0,1,0,5,9
228,240,0,0,1,1,1,2,0,1,0,3,9
229,241,0,0,0,1,0,1,0,0,0,6,8
230,242,0,0,0,0,0,0,1,0,0,1,2
231,243,0,1,0,0,0,0,0,0,0,1,2
232,245,0,1,0,0,0,0,0,0,0,0,1
233,246,0,0,0,0,0,0,0,0,0,1,1
234,247,0,0,0,0,0,0,0,0,0,1,1
235,248,0,1,0,0,0,0,0,0,0,1,2
236,249,0,1,0,0,0,0,0,0,0,1,2
237,250,0,0,1,1,0,0,0,0,0,0,2
238,251,0,1,0,1,0,0,0,0,0,0,2
239,252,0,1,0,0,0,1,1,0,0,0,3
240,253,0,1,1,1,0,0,0,1,0,1,5
241,254,0,0,1,2,0,0,1,0,0,2,6
242,255,0,2,0,1,1,0,0,0,0,1,5
243,256,0,0,0,0,0,0,0,0,0,2,2
244,257,0,0,0,0,2,0,0,0,0,2,4
245,258,0,0,0,1,2,0,0,0,0,2,5
246,259,0,0,0,1,2,0,0,0,0,1,4
247,260,0,0,0,1,1,0,0,0,0,1,3
248,261,0,1,0,0,0,0,1,0,0,0,2
249,262,0,0,0,1,1,0,0,0,0,2,4
250,263,0,0,0,0,2,0,0,0,0,2,4
251,264,0,0,0,0,0,0,0,0,1,1,2
252,265,0,0,0,0,0,0,0,0,0,1,1
253,266,0,0,0,0,0,0,0,0,0,1,1
254,267,0,0,0,0,0,0,0,0,0,2,2
255,268,0,0,0,0,0,0,0,1,0,1,2
256,269,0,0,0,0,0,1,0,0,0,1,2
257,270,0,0,0,0,0,1,0,0,1,1,3
258,271,0,0,0,0,0,0,0,0,1,1,2
259,272,0,0,0,0,0,0,0,0,0,2,2
260,273,0,0,0,0,0,0,0,0,0,1,1
261,274,0,0,0,0,0,0,0,0,0,2,2
262,275,0,0,1,0,0,1,0,1,0,1,4
