,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
629,4253,both,0,,,
630,4261,both,0,,,
631,4267,both,0,,,
632,4268,both,0,,,
633,4291,,0,,both,
634,4292,,0,,right,
635,4293,,0,,both,
636,4294,,0,,right,
637,4295,,0,,both,
638,4297,,0,,both,
639,4298,,0,,both,
640,4299,,0,,right,
641,4300,,0,,both,
642,4301,,0,,right,
643,4302,,0,,right,
644,4304,,0,,left,
645,4305,,0,,both,
646,4307,,0,,right,
647,4308,,0,,right,
648,4312,,0,,both,
649,4314,,0,,both,
650,4315,both,0,,both,
651,4316,both,0,,,
652,4340,both,0,,,
653,4345,both,0,,,
654,4346,both,0,,,
655,4351,both,0,,,
656,4352,both,0,,,
657,4356,both,0,,,
658,4357,both,0,,,
659,4359,both,0,,,
660,4360,both,0,,,
661,4361,both,0,,,
662,4362,both,0,,,
663,4390,,0,,both,
664,4391,,0,,right,
665,4392,,0,,both,
666,4393,,0,,both,
667,4394,both,0,,both,
668,4398,,0,,both,
669,4399,,0,,both,
670,4400,,0,,both,
671,4401,,0,,both,
672,4402,,0,,both,
673,4404,,0,,both,
674,4405,,0,,both,
675,4406,,0,,both,
676,4408,,0,,right,
677,4409,,0,,right,
678,4410,,0,,right,
679,4412,both,0,,both,
680,4413,both,0,,both,
681,4416,both,0,,,
682,4417,both,0,,,
683,4445,both,0,,,
684,4446,both,0,,,
685,4455,both,0,,,
686,4456,both,0,,,
687,4458,both,0,,,
688,4494,,0,,both,
689,4496,,0,,both,
690,4503,,0,,both,
691,4504,,0,,both,
692,4506,,0,,both,
693,4508,,0,,both,
694,4509,,0,,right,
695,4510,,0,,right,
696,4511,,0,,right,
697,4512,,0,,right,
698,4514,,0,,right,
699,4515,,0,,right,
700,4542,both,0,,,
701,4600,,0,,right,
702,4601,,0,,both,
703,4603,both,0,,both,
704,4605,,0,,right,
705,4606,,0,,right,
706,4608,both,0,,both,
707,4609,both,0,,both,
708,4611,,0,,both,
709,4612,,0,,both,
710,4618,both,0,,both,
711,4619,,0,,both,
712,4648,one,0,,both,
713,4654,both,0,,,
714,4655,both,0,,,yes
715,4658,both,0,,,
716,4659,both,0,,,
717,4664,one,0,,,
718,4665,one,0,,,
719,4676,,0,,,yes
720,4697,,0,,,no
721,4699,,0,,,no
722,4701,,0,,,no
723,4747,,0,,,no
724,4748,both,0,,,
725,4749,both,0,,,
726,4752,,0,,,no
727,4771,,0,,,no
728,4773,,0,,,yes
729,4774,,0,,,no
730,4775,,0,,,yes
731,4778,,0,,,yes
732,4779,,0,,,yes
733,4780,,0,,,no
734,4782,both,0,,,
735,4850,both,0,,,
736,4858,both,1,,,
737,4860,,0,,,no
738,4876,both,0,,,
739,4877,both,0,,,
740,4881,both,0,,,
741,4887,both,0,,,
742,4888,both,0,,,
743,4919,,0,,,no
744,4960,,0,,,yes
745,4961,,0,,,yes
746,4962,,0,,,yes
747,4964,,0,,,no
748,4965,,0,,,no
749,4968,both,0,,,
750,4969,both,0,,,
751,4971,one,0,,,
752,4973,both,0,,,
753,4983,both,0,,,
754,4996,both,0,,,
755,4997,both,0,,,
756,4998,both,0,,,
