,seg_index,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1227,1255,0,1,4,1,2,1,1,0,1,0,11
1228,1256,2,3,3,2,5,1,0,12,5,3,36
1229,1257,0,1,5,1,5,0,0,5,7,5,29
1230,1258,0,0,3,7,3,1,0,6,8,8,36
1231,1259,0,3,4,9,2,1,0,4,8,5,36
1232,1260,0,9,2,23,3,2,0,1,7,1,48
1233,1261,0,5,0,4,1,1,2,1,5,3,22
1234,1262,0,1,0,3,0,1,7,0,4,3,19
1235,1263,0,1,1,0,0,0,4,0,3,1,10
1236,1264,0,1,0,0,0,0,1,0,2,1,5
1237,1265,0,2,3,0,6,0,1,0,2,1,15
1238,1266,0,5,3,4,6,1,1,0,2,0,22
1239,1267,0,3,0,3,1,0,0,0,2,0,9
1240,1268,4,2,1,4,0,0,0,0,1,0,12
1241,1269,1,1,0,0,0,0,0,0,7,0,9
1242,1270,0,1,0,3,0,1,1,0,8,1,15
1243,1271,0,2,1,1,0,0,0,0,4,1,9
1244,1272,1,0,0,1,1,0,1,5,12,1,22
1245,1273,2,2,0,4,0,0,0,12,11,0,31
1246,1274,1,6,0,8,4,0,1,15,10,0,45
1247,1275,0,12,3,6,5,0,1,12,12,1,52
1248,1276,0,7,4,19,4,0,0,2,7,9,52
1249,1277,1,1,2,14,2,0,1,4,13,8,46
1250,1278,2,8,4,5,5,5,0,0,10,1,40
1251,1279,0,8,4,6,2,1,0,0,3,3,27
1252,1280,0,3,1,4,0,1,1,0,2,2,14
1253,1281,0,1,0,2,0,1,1,0,3,1,9
1254,1282,0,1,0,0,0,2,1,1,1,1,7
1255,1283,0,7,6,3,6,3,2,1,1,3,32
1256,1284,0,8,6,4,3,5,2,0,3,2,33
1257,1285,0,2,0,2,0,0,1,0,7,0,12
1258,1286,2,1,0,4,0,0,0,0,2,0,9
1259,1287,1,2,0,2,0,0,0,0,0,0,5
1260,1288,0,2,0,0,0,0,0,0,0,0,2
1261,1289,1,3,0,0,0,0,0,0,25,1,30
1262,1290,0,2,0,1,0,0,0,0,13,1,17
1263,1291,0,0,0,3,0,0,0,0,2,1,6
1264,1292,0,2,1,1,0,0,0,2,10,2,18
1265,1293,0,2,1,2,2,0,0,4,19,1,31
1266,1294,0,2,2,1,7,2,4,14,6,1,39
1267,1295,0,11,1,0,5,2,4,12,2,3,40
1268,1296,0,6,1,8,4,1,3,11,6,11,51
1269,1297,0,5,4,36,7,3,1,8,9,11,84
1270,1298,0,1,1,9,1,2,0,1,8,3,26
1271,1299,0,1,2,6,1,2,1,2,9,3,27
1272,1300,0,4,3,22,2,1,4,0,4,1,41
1273,1301,0,5,0,0,0,1,5,0,5,2,18
1274,1302,0,5,3,0,0,1,0,0,9,3,21
1275,1303,0,4,2,0,0,0,0,0,6,1,13
1276,1304,1,9,1,0,0,0,1,0,3,2,17
1277,1305,1,9,0,7,0,0,1,0,2,1,21
1278,1306,0,0,0,0,0,0,0,0,3,0,3
1279,1307,0,1,0,0,0,0,0,0,0,0,1
1280,1308,0,0,0,0,0,0,0,0,2,0,2
1281,1309,0,0,0,0,0,0,0,0,3,0,3
1282,1310,0,0,0,0,0,0,0,0,3,0,3
1283,1311,0,0,0,0,0,0,0,0,3,0,3
1284,1312,1,0,0,0,1,0,0,0,2,0,4
1285,1313,0,0,0,0,0,0,0,0,1,0,1
1286,1314,0,3,0,0,0,0,0,0,4,1,8
1287,1315,0,3,0,0,0,0,0,0,3,1,7
1288,1316,0,2,0,0,0,0,0,0,1,0,3
1289,1317,1,1,0,0,1,1,1,0,3,0,8
1290,1318,2,2,0,0,1,0,0,0,4,0,9
1291,1319,0,5,0,0,0,0,0,0,0,0,5
1292,1320,0,0,0,0,0,0,0,0,4,0,4
1293,1321,0,0,0,0,0,0,0,0,4,0,4
