0,1,2
"('highway=primary', 'bicycle=designated', 'lanes=2')",,2
"('highway=residential', 'foot=yes')",,2
"('highway=residential', 'oneway:bicycle=no', 'sidewalk=both', 'oneway=yes', 'lanes=1')","S1_1,sidewalk",2
"('highway=residential', 'sidewalk=both', 'lanes=4')",sidewalk,2
"('highway=residential', 'foot=yes', 'sidewalk=both')",sidewalk,2
"('highway=construction', 'sidewalk=both')",sidewalk,2
"('highway=primary', 'bicycle=yes', 'oneway=yes', 'lanes=2')",,2
"('highway=residential', 'cycleway=no', 'oneway=yes')",,2
"('highway=tertiary', 'cycleway:right=shared_lane', 'lanes=2')",,1
"('highway=tertiary', 'cycleway=lane', 'sidewalk=right', 'lanes=2')","L1b_2,sidewalk,L1a_1",1
"('highway=tertiary', 'cycleway=lane', 'sidewalk=right', 'lanes=3')","L1b_2,sidewalk,L1a_1",1
"('highway=motorway_link', 'sidewalk=no', 'oneway=yes', 'lanes=3')",sidewalk,1
"('highway=tertiary', 'cycleway=lane', 'sidewalk=yes', 'lanes=2')","L1b_2,sidewalk,L1a_1",1
"('highway=tertiary', 'cycleway=opposite_lane', 'oneway:bicycle=no', 'oneway=yes', 'lanes=1')","S1_1,M3a_2,M3b_2",1
"('highway=tertiary', 'bicycle=yes', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk,1
"('highway=tertiary', 'cycleway=shared_lane', 'lanes=4')",,1
"('highway=tertiary', 'cycleway=shared_lane', 'oneway=yes', 'lanes=1')",,1
"('highway=motorway', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk,1
"('highway=tertiary', 'cycleway=shared_lane', 'sidewalk=both', 'lanes=4')",sidewalk,1
"('highway=tertiary', 'foot=designated', 'lanes=2')",,1
"('highway=tertiary', 'bicycle=yes', 'sidewalk=no', 'oneway=yes')",sidewalk,1
"('highway=motorway', 'sidewalk=right', 'oneway=yes', 'lanes=1')",sidewalk,1
"('highway=tertiary', 'foot=no', 'oneway=yes', 'lanes=1')",,1
"('highway=motorway', 'sidewalk=no', 'oneway=yes', 'lanes=3')",sidewalk,1
"('highway=primary', 'bicycle=designated', 'oneway=yes', 'lanes=1')",,1
"('highway=tertiary', 'cycleway:left=lane', 'cycleway:right=lane', 'lanes=2')","M4_3,L2,L1a_2",1
"('highway=path', 'bicycle=yes', 'foot=yes', 'oneway=no')",,1
"('highway=path', 'bicycle=no', 'foot=no')",,1
"('highway=pedestrian', 'oneway=no')",pedestrian,1
"('highway=tertiary', 'cycleway=lane')","L1b_2,L1a_1",1
"('highway=pedestrian', 'foot=private')",pedestrian,1
"('highway=tertiary', 'cycleway:right=lane', 'sidewalk=both', 'lanes=4')","L2,sidewalk",1
"('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'lanes=3')","L1b_2,L1a_1",1
"('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'lanes=4')","L1b_2,L1a_1",1
"('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'oneway=yes', 'lanes=2')","M4_2,M2a_2,M2b_2,M2c,L1b_2,L1a_1",1
